Decentralized data management: further disadvantages|This requires the presence of acommunication protocol, as well as the sending, receiving, and processing of messages.  Security issues: Sending data over a network implies security concerns, as untrusted users may misuse the network to access and use data without authorization. The less restricted access to the network over which the distributed nodes communicate, the higher the security concerns for the distributed system. Decentralized communication with equal nodes.
Peer-to-peer systems: basics|Peer-to-peer systems are a special kind of distributed systems. They consist of individual. computers that make their computing resources directly available to all other members of the network without a central coordination point. When joining a peer-to-peer system, users turn their computers into node computers of the system that are the same in terms of their rights and roles. All nodes in the system have the same functionality and responsibility. All users' computers are both providers and consumers of resources.
Decentralized communication vs. client-server model|A peer-to-peer network is a decentralized communication model in which each node on the network has the same capabilities and can establish communication with all other nodes. Unlike the client-server model, where the client sends a request to a server that is implemented by it, in the P2P network each node can assume the role of client or server. P2P systems can be used to provide anonymized routing of data traffic, parallel computing environments, distributed data storage and other functions. P2P has historically gained notoriety through the sharing of movies, music, digital books and other media.
Anonymized routing|P2P systems can be used to provide anonymized routing of data traffic, parallel computing environments, distributed data storage and other functions. P2P has historically gained notoriety through the sharing of movies, music, digital books and other media. It is, therefore, often associated with software piracy and copyright infringement.
User control in peer-to-peer networks.|As a rule, peer-to-peer applications allow their users to control many parameters: How many node connections should be searched for or allowed at the same time, which systems should the network connect to and which should not, which services should be offered and how many system resources should be made available for the network. Some nodes may limit themselves to simply connecting to a subset of active nodes on the network. In principle, however, there is little user control in P2P networks.
Benefits of peer-to-peer networks|The decentralized structure of the blockchain, unlike traditional centralized approaches, brings with it several important features: Transparency: It is possible for anyone to track the movement of funds from one account to another. Immutability: Once confirmed, a transaction cannot be undone. Low cost: Transaction fees are minimal.
Further benefits of peer-to-peer networks|Cross-border: Funds or assets can be sent to someone on the other side of the globe as easily as to someone in the next room. Speed: Due to the flat and transparent structure of the blockchain, transfers are displayed almost immediately and usually confirmed in minutes instead of hours or days.
Distributed ledger: basics|Ledgers or account books have been around for a long, long time. In the past, of course, they were only available in paper form. With increasing digitalization, the account books are managed digitally. Traditionally, a central authority has been responsible and responsible for validating ledger entries. For example, banks are required to review financial transactions. However, the original form of the ledger still serves as a metaphor for the secure storage of transaction data. Computerized ledgers usually mirror what once existed on paper.
Distributed ledgers: Advanced, decentralized recording.|Now, the technology of the 21st century has taken the next step with cryptography, advanced algorithms, stronger and almost universally available computing power to make the distributed attitude of ledgers a more viable form of recording. Unlike traditional databases, distributed ledgers have neither a central data store nor centralized management functions. In a distributed ledger (or ledger), each node processes and verifies each entry, generating a record for each entry, and seeking consensus on the accuracy of that entry.
Efficient, secure, transparent distributed ledgers.|Distributed ledger technologies have the potential to speed up transactions by eliminating the need for a central instance. Similarly, distributed ledgers have the potential to reduce costs per transaction. Experts also believe that distributed ledger technology is much more secure because each node of the network contains records, creating a system that is more difficult to manipulate or successfully attack. Many also view a distributed ledger as a much more transparent way of sharing shared data and information and observing it together across a network, which also makes a successful cyberattack less likely.
Blockchain - summary|In summary, it can be said: 1· A blockchain or distributed ledger is a new way to store and transmit information. 2· In the simplest case, the blockchain is a digital record stored on a network of computers (possibly even worldwide). 3· Instead of securing information by restricting access, the blockchain shares information among all users. 4· Ownership of assets, for example, is cryptographically verified and the full transparency and shared ownership of the system (among all users) means that a bad actor is immediately recognizable as such and all transactions transmitted by such a node are ignored.
Blockchain and its processes|Transaction: Two parties decide to exchange a thing (property, certificate, etc.). Block: The transaction is packaged with other pending transactions creating a „block“. The block is sent to the blockchain network of participating computers.  Verification: The participating computers (called “miners” in the Bitcoin world) determine whether the transactions are valid. If a majority of computers declare the transactions valid, they are considered valid and a “consensus” among the participants has been reached. Blockchain and its processes (continued) Hash: Each verified block of transactions is time-stamped with a cryptographic hash. Each block holds a reference to the previous block’s hash value. This results in a chain of blocks that can hardly be tampered. Execution: The unit of value moves from the account of one party to the account of the other party.
Two types of records|A blockchain ledger consists of two types of records, individual transactions and blocks. The first block consists of a header and data related to transactions that take place within a specified period of time. The block's timestamp is used to create an alphanumeric string called a hash (a type of unique fingerprint of the transaction).
Hash-based consensus verifies blockchain integrity.|After the first block is created, each subsequent block in the ledger uses the hash of the previous block to calculate its own hash. Before a new block can be added to the blockchain, its authenticity must be verified through a calculation process called validation or consensus. At this point in the blockchain process, much of the nodes on the network must agree and confirm that the hash of the new block has been calculated correctly. Consensus ensures that all copies of the distributed ledger use the same state.
Immutable blocks maintain blockchain integrity.|After a block is added, it can be referenced in subsequent blocks, but cannot be changed. When someone tries to exchange a block or change information stored in it, the hashes for previous and subsequent blocks also change and change the shared state of the blockchain. When consensus is no longer possible, all other nodes on the network are aware that a problem has occurred, and no new blocks are added to the blockchain until the problem is resolved. Typically, the block that caused the problems is discarded and the consensus process is repeated.
Cryprocurrencies - in a few words|A cryptocurrency is a digital medium of exchange that uses encryption to secure the processes implemented in generating money and conducting money transactions. Cryptocurrencies are a subset of digital currencies and therefore have no physical representation. You can't put them in your wallet. They can be used for digital transactions with all business partners who accept them. Transactions with cryptocurrencies are usually carried out through mobile payment from a digital wallet. There are numerous cryptocurrencies around the world. Among them, Bitcoin is the most prominent example.
Altcoins and Bitcoin-to-Bitcoin transactions|In fact, other cryptocurrencies are sometimes referred to as altcoins, alternatives toBitcoin. The Bitcoin protocol enables P2P exchanges in a decentralized system that, unlike traditional currencies, is not associated with a financial institution or government. Bitcoin-to-Bitcoin transactions are made via anonymous, strongly encrypted hash codes on a peer-to-peer network. Each user's digital wallet contains their bitcoins. The wallet also stores all the addresses to which the user sends bitcoin and from which he receives bitcoins, along with a private key known only to the user. The P2P network monitors and verifies the Bitcoin transfers.
Cryptocurrency skepticism impacts blockchain perception.|Due to the positioning of Bitcoin outside the control of state and financial authorities and its potential for abuse as an instrument of fraud, money laundering and other illegal activities, as well as other concerns such as its volatility and the unregulated nature of the exchanges on which Bitcoin is traded, cryptocurrencies are viewed with particular skepticism and concern. This image often rubs off on blockchain technology in general.
Public or private blockchain|Blockchain platforms can be designed either as a public blockchain (without access authorization, permissionless) or private blockchain (with explicit access authorization, permissioned). In a public, permissionless blockchain like Bitcoin, any node on the network (without prior authentication) can transact and participate in the consensus process. In a private blockchain with access authorization, any node can execute transactions, but participation in the consensus process is limited to a limited number of verified nodes.
Consensus and validation in the blockchain|Choosing the consensus algorithm to use is perhaps the most important aspect when choosing a blockchain platform. There are five standard methods to reach consensus. In general, public platforms choose algorithms such as Proof of Work because they require a lot of computing power for computation and are easy to verify for the network nodes involved. Proof-of-Work (PoW). Practical Byzantine Fault Tolerance Algorithm (PBFT). Proof-of-Stake (PoS). Proof-of-Authority (PoA). Proof-of-Honesty (PoH)
Diverse industries explore blockchain applications|The areas of application are manifold and can certainly not be described conclusively here. Much of the early interest in blockchain technology arose around its application in financial transactions. This is understandable when you consider that the cryptocurrency Bitcoin has been used worldwide, proving that blockchain technology can actually work. Banks and other financially relevant institutions have also become early innovators in this area. Other industries, including healthcare, the public sector, agriculture, energy, and many more, are exploring how they can use blockchain to enable the secure exchange of data such as personal health information, digital assets, or real estate data.
Blockchain enables secure supply chains and document exchange|Manufacturing companies and other similar companies also see some potential to use blockchain to manage smart contracts and track materials as they move through their supply chains. Experts believe that blockchain can be used in tax collection, asset transfers, distribution of social benefits, and even voting procedures such as elections. Blockchain can also be used to exchange legal and similar documents such as certificates, testimonials and proofs.
Empowering individuals through decentralized control|Some believe that individuals can use this technology to have better control over personal information and then selectively share parts of their data when necessary; Use cases here include individual medical records and corporate supply chains. In addition, proponents also say blockchains can help better track intellectual property rights and property for art, assets, music, film, and more. Blockchain offers a radically different approach. It firmly manifests the feasibility of peer-to-peer communication over the Internet without the need for a trusted intermediary.
Efficient, secure business transactions with trust|For a company, blockchain offers the following basic possibilities: A design approach that keeps transaction data, value, and status inherently close to business logic. The necessary data schemas for transactional data are easier to manage. Secure execution of business transactions validated by the community of all network users, in a secure process that enables the trust and robust transaction processing that are fundamental to blockchain.
Controlled access authorization for compliance|Access via access authorization as an alternative to uncontrolled access without authorization check, which may meet existing regulations in the company.
Blockchain: Enhanced security and resilience|Experts cite several important benefits for using blockchain. Security is considered one of the main advantages of this technology. It is almost impossible to manipulate a blockchain because information from thousands, even millions of computers, is shared and constantly compared with each other. In addition, blockchain does not have a singular point of failure. If one node fails, this is not a problem because all other nodes have a copy of the ledger. Whether blockchain will revolutionize the way public administration, institutions and industries work is an open question.
Blockchain reliability under scrutiny, diverse applications|Articles in the press have questioned whether blockchain technologies, as they exist now, are sufficiently reliable to deploy on a large scale. Topics include the lack of regulations for this new form of exchange and safety concerns. Blockchains are usually associated with digital currencies such as Bitcoin or alternative versions. However, the fact is that blockchain applications are being researched in many industries as a secure and cost-effective way to create and manage a distributed database and maintain records for digital transactions of all kinds.
Blockchain advantages: Revision, integration, control support|The advantages  of blockchain can be summarized as follows: Revision: Blockchains log transactions, thus establishing regulations for the purpose of non-repudiation, root cause analysis, fraud analysis, etc. Process integration with existing systems: Blockchains ensure that the blockchain solution supports existing systems such as CRM, business intelligence, reporting and analytics, etc. Control: Blockchains support capacity planning (for the network), fraud and error detection.
Blockchain benefits: Reporting, auditing, trust, and efficiency|Reporting and Auditing: Authentication, authorization, and auditing requirements. In a corporate world with access verification, all participants of the blockchain network should be able to be identified and tracked. Their role must be defined if they are to take on certain roles in the blockchain context. Overall, blockchain technology can support a number of models around the handling of business processes by promoting faster settlement, transparency through digitization, symmetrical dissemination of information in supply chains, and the creation of ad hoc trust even between Internet of Things (IoT) services.
Bitcoin drawbacks: Lack of control, technical limitations|Among the many disadvantages of Bitcoin (comparatively slow confirmation times, regular attacks, high energy consumption, etc.), the lack of control over updates and changes to the network and the difficulty of adapting the existing Bitcoin technology to individual needs. For this reason, many organizations prefer to create their own, private blockchain systems with access control. On a technical level, a blockchain can be defined as an immutable ledger or ledger for recording transactions managed in a distributed network of untrusted partners.
Consensus ensures data consistency and integrity|Each peer keeps a copy of the ledger. The peers run a consensus log to validate transactions, group them into blocks, and create a hash chain over the blocks. This process is necessary to ensure the consistency and integrity of the data.
The Ledger|This chapter describes the central element of blockchain technology: the ledger or, to German, the ledger. It explains the architecture of the ledger and the functions and mechanisms for the forgery-proof storage of transaction data.
Blockchain: Cryptographic proof and user anonymity.|The original goal of the blockchain was to support electronic payment systems based on cryptographic proof rather than trust. This basis remains in place, while the diversity of scopes has increased considerably. The primary goal of blockchain is to ensure the anonymity of its users. This is achieved by using a public/private key pair. Each participant is identified by the public key, and authentication (of transactions, for example) is done by signing with the private key.
Blockchain ledger: Immutable transaction log.|The concept of the ledger has its origins in double-entry bookkeeping, where each posting on one account requires a corresponding and opposite posting on another account. This helps to detect errors. In the context of blockchain, a ledger is an indelible log of transactions that take place between different participants. A ledger records which transaction took place (Participant A has transferred asset X to participant B) and in what order these transactions took place (Participant A transfers asset X to participant B. Subsequently, participant B transfers amount Y of a currency to participant A).
Immutable and secure ledgers for all participants.|The ledgers are accessible to all participants registered on a particular network (private blockchain), or to the public as a whole (public blockchain). Ledgers are tamper-proof:  no participant can add, delete or change ledger entries once saved. The management of the ledger must be immune to attacks to ensure that the ledger remains secure even if some participants inadvertently or intentionally behave maliciously.
Blockchain: Integrity and trust reinforcement.|Maintaining integrity and trust in distributed systems is the main purpose of blockchain. In the context of software systems, integrity is the property of a system to be secure, complete, consistent, correct, and free from manipulation and error.  Trust is the firm belief in the reliability, correctness, or ability of someone or something without having to provide evidence. People will remain loyal toa system if they trust it and if the results of day-to-day interactions with the system confirm and strengthen their trust. Integrity is required to meet users' expectations and strengthen their trust in the system.
Integrity in distributed systems: Peer knowledge and trust.|Achieving and maintaining integrity in purely distributed systems such as blockchains depends on many factors. The two most important are: Knowledge of the number of peers. Knowledge of the trustworthiness of peers. The chances of integrity in a distributed peer-to-peer system are higher if the number of members and their trustworthiness are known (similar to a private club). In a purely distributed peer-to-peer system on the Internet, accessible to everyone, the number of peers and their trustworthiness is inherently unknown.
Integrity threats in peer-to-peer systems: Technical failures and malicious actors.|The two most important integrity threats in peer-to-peer systems are technical failures and members with malicious intent. Dishonest and malicious actors pose the greatest threat to the peer-to-peer system because they attack the foundation on which a peer-to-peer system is based: trust. As soon as users can no longer trust each other, they turn away and leave the system. Achieving integrity and trust is the challenge that blockchain technology faces.
The Byzantine Generals Problem: Achieving Integrity and Trust in Distributed Systems|The problem of achieving and maintaining integrity and trust in a system consisting of an unknown number of members with unknown trustworthiness is well known and widely used in computer science. It is called the problem of Byzantine generals.
The Byzantine Error: Consensus in the Face of Betrayal|In the siege of a city, several generals have a communication problem. Because of the strong fortification, it is necessary for the generals with their troops to attack the city simultaneously from different directions. The generals can communicate with each other via messengers. However, some of the generals intrigue against others. Their goal is to discredit their competitors – for example, by trying to drive the others to a premature attack through cleverly spread misinformation. None of the generals now know what information is authentic and who they can trust. It is therefore a problem of agreement, which consists in the fact that the commanders must decide unanimously whether to attack or not.
The Byzantine Error: Overcoming Betrayal and the Limits of Classical Communication|The problem is complicated by the spatial separation of the commanders; so, they have to send messengers back and forth. There is also the possibility that there may be traitors among the generals who can deliberately send misleading information to the other generals. Mathematically, it turned out that the loyal generals only have a chance of reaching an agreement under these conditions if the proportion of the schemers is less than a third. Thus, there was no solution, especially for three generals, one of whom is a schemer – at least not with the help of classical communication methods such as messengers.
The Byzantine Generals Problem: Consensus in the Face of Betrayal|In the siege of a city, several generals have a communication problem. Because of the strong fortification, it is necessary for the generals with their troops to attack the city simultaneously from different directions. The generals can communicate with each other via messengers. However, some of the generals intrigue against others. Their goal is to discredit their competitors – for example, by trying to drive the others to a premature attack through cleverly spread misinformation. None of the generals now know what information is authentic and who they can trust. It is therefore a problem of agreement, which consists in the fact that the commanders must decide unanimously whether to attack or not.
Blockchain: Revolutionizing Proof of Ownership and Property Management|Integrity and trust are one challenge that the blockchain has to face, the other is the management of property. Proof of ownership includes three elements: Identification of the owner. Identification of the object of which it is the owner. Assignment of the owner to the object. In real life, we use passports, testimonials, birth certificates, serial numbers, and even testimonies to obtain these three elements as evidence. Usually this takes some time.
Blockchain: Transforming Proof of Ownership and Property Management through Immutable Ledgers|The assignment between owners and objects is usually done via a general ledger or register. A ledger  is a concrete implementation of an assignment between owners  and property. Proof of ownership requires the identification of owners and property, as well as the assignment between owners and property. The use of the property requires identification as well as authentication and authorization to ensure that only the legitimate person  legally owns the property.
The Three Pillars of Secure Access: Identification, Authentication, and Authorization|Identification means identifying oneself as a specific person. Authentication means proving that this person is really the one you are working for. Authorization means being able to access something because of the previously authenticated identity.
Double Spending and the Challenge of Consistency in Distributed Peer-to-Peer Systems|Double spending is one of the most important examples of integrity breaches in distributed peer-to-peer systems. After transferring ownership from one person to another, all ledgers of the system must be updated so that the latest version reflects the new reality.  However, sharing information between members in the blockchain system and updating individual ledgers will take time. Some members already know about the last transfer of ownership, while others have not yet received this information. At this point, the system is not consistent.  
The Problem of Double Spending: Counterfeiting in the Digital Realm|Only one of them should be the new and rightful owner. Therefore, the situation is called the problem of double spending. In the context of copying digital goods, the problem of double spending refers to the fact that data can be copied on a computer without significant restrictions. Copying a representation of a unique real object (house, money, cars, etc.) is the digital equivalent of counterfeiting banknotes with a photocopier.
Solving the Double Spending Problem: Blockchain's Integrity Solution|The problem of double spending is an important example of the violation of integrity in distributed peer-to-peer systems of ledgers that   blockchain technology has to solve.
Managing Ownership and Transactions: Blockchain's Tasks in a Peer-to-Peer Environment|Blockchain is software that manages ownership and possession in a purely distributed peer-to-peer system of ledgers, which in turn operates in an open and untrustworthy environment. Blockchain must therefore cope with seven main tasks: Capturing the Transfer of Ownership: Transactions are a good way to describe property transfers. The complete history of transactions is the key to identifying the current owners.
Ensuring Property Protection and Secure Transaction Storage in Blockchain Systems|Property protection has three main elements: identifying and authenticating owners, and restricting access to property to its rightful owners. Storing transaction data. The transaction history is used to clarify ownership. Since transaction history is the core element in the clarification of ownership, it must be stored in a secure manner.
Design Considerations for Immutable and Distributed Ledgers in Untrusted Environments|Design of ledgers for distributed and untrusted environments. The best way to prevent the transaction history from being changed is to make it immutable. This means that the ledger and thus the transaction history can no longer be changed after writing. At the same time, however, it must be able to add new transactions. Distributing the ledgers. Interaction between the members (or nodes) and control of the information is shared between all members.
Ensuring Consensus and Truth in Blockchain Ledgers: Conflict Resolution and Majority Agreement|Add a new transaction to the ledgers. All members of the peer-to-peer system can add new data, while at the same time each member of the peer-to-peer system acts as the supervisor of all members. Decide which ledger represent the truth. Avoiding conflicts between transaction histories is a serious threat to the integrity of the system. The blockchain must decide which transaction history is the truth. It solves the problem by having each node in the peer-to-peer system decide which transaction history is the true one, and the majority of members independently agree to that decision.
Ensuring Transparency and Traceability: Documenting Property Transfer and History|The aim is a transparent and comprehensible documentation of the property. This includes the following aspects: Description of the transfer of ownership. Maintaining transfer history
Recording Ownership Transfer: Account Creation and Transaction Details|Description of the transfer of ownership. A transaction is the transfer of ownership from one owner to another. The act of transfer of ownership is documented with the following facts: Creation of the owner's account. Name of the account to which ownership is to be transferred. Quantity and scope of the property to be transferred.
Key Elements of Ownership Transfer: Timing, Fees, and Consent Verification|The time at which the transaction is to be executed. Optional: A fee payable to the system for executing the transaction. Proof that the owner of the account who hands over ownership actually consents to this transfer.
Transaction History: The Key to Comprehensive Ownership Documentation|Transaction history management. Because the transaction data contains all the information about the account that hands over ownership, the account that receives the property, as well as the item and amount to be transferred, ownership information can be reconstructed for each account as long as the entire transaction history is available. As a result, the entire history of all transaction data is sufficient to document ownership
Preserving Integrity: The Role of Transaction History in Ownership Documentation|The complete history of transaction data is a process chain that provides information about how people acquired and transferred ownership. Any transaction that is not part of this history is considered as if it never happened. A transaction is executed by adding it to the history of the transaction data. The order in which transaction data is added to the history must be preserved. Only transaction data that meets the following three criteria are added to the Blockchain: Formal correctness. Semantic correctness. Authorization
Ensuring Correctness: Formal and Semantic Criteria in Transaction Processing|Formal correctness: The description of a transaction contains all the necessary data and this data is provided in the correct format. Semantic correctness: It focuses on the statement of transaction data and its intended effect. Semantic correctness is often based on business rules, for example: Ensure that no more is spent from the account than allow balance and line of credit. Avoidance of double spending. Limit the number of items/assets that can be transferred in a single transaction.
Enforcing Transaction Limits and Authorization in Blockchain Systems|Limit the number of transactions per user. Limit the total quantity of items/assets that can be sold in a given period. Enforce that an account retains an item/asset for a minimum period of time before it can be further transferred. Authorization. Only the owner of the account who hands over ownership should be allowed to instruct the blockchain to execute a transaction on their behalf.
Securing Data Integrity: Digital Fingerprinting and Hash Functions in Blockchain|In the Blockchain, it is necessary to identify transaction data and possibly any kind of data too unambiguously. This is done with the help of a digital fingerprint. Hash functions accept only one data element as input at a time and create a hash value based on the bits and bytes that make up the data. Hash values can have leading zeros to meet the required length.
Exploring the Properties of Cryptographic Hash Functions in Blockchain|Cryptographic hash functions have the following properties: Quickly create hash values for any type of data: The hash function calculates hash values for all types of data very quickly. Deterministic:  This means that the hash function returns identical hash values for identical input data. Any deviation of the hash values of the data suggests deviations in the input data.
Understanding the Key Properties of Cryptographic Hash Functions in Blockchain Security|Pseudo random:  It is not possible to predict the hash value based on the input data. No reverse engineering of the data: It is impossible to restore the original input data based on the hash value. The hash values say nothing about the content of the input data. Collision-proof: A hash function is called collision-proof when it is very difficult (or impossible) to find two or more different data for which it gives the identical hash value.
Efficient Approaches for Hashing Multiple Data Elements in Blockchain Systems|Hash functions accept only one data element at a time. There is no hash function that accepts multiple independent data at the same time. In reality, however, a single hash value is often needed for a large collection of data. This can be achieved using the following patterns: Independent hashing: means that the hash function is applied to each data element independently. Repeated hashing:  is the repeated application of a hash function to one's own result.
Efficient Strategies for Hashing Multiple Data Elements in Blockchain: Combined, Sequential, and Hierarchical Approaches|Combined hashing: retrieves  a single hash value for more than one data element in one attempt. This is useful when a single hash value is required for a collection of data that is available at any given time. Sequential hashing: is the incremental updating of a hash value when new data arrives. The existing hash value is combined with new data and then passed to the hash function to get the updated hash value. Hierarchical hashing: is the creation of a single hash value for a collection of data. It combines a pair of hash values to form a small hierarchy of hash values with a single value at its top.
Efficient Data Comparison and Change Detection Using Cryptographic Hashing in Blockchain Systems|Hashing is also used to compare data without comparing its content piece by piece. If all cryptographic hash values differ, all the data under consideration is also different. If two or more of the cryptographic hash values are identical, their corresponding input data is also identical.  Comparing hash values is a simple and efficient way to detect changes. if the newly created hash value of certain data and its old value are the same the data hash has not been changed after the old hash value was created.
Ensuring Data Integrity: Detecting Changes Using Collision-Resistant Cryptographic Hash Functions|Detecting data changes is actually a process of comparing data before and after certain events, e.g., after a certain period of time has elapsed, when the data has been stored in a database, retrieved from a database, or sent over a network. Detecting changes to data that should remain unchanged works due to the collision resistance of cryptographic hash functions.
Maintaining Data Integrity with Hash References: Detecting Data Alterations and Ensuring Accuracy|Hash references refer to other data, ensuring that the referenced data has not been altered since the reference was created. In the event that the referenced data has been changed, the reference no longer allows the data to be retrieved. in this case the hash reference is considered incorrect or invalid. The idea of hash reference is to protect its users from retrieving data that has been accidentally altered due to technical errors or intentionally by someone else without informing about it. As a result, an erroneous hash reference is considered an indication that the data has been altered after the hash reference was created.
Ensuring Data Integrity with Concatenation of Hash References: Building Secure Merkle Chains|Concatenation of hash references. Merkle chains. One can store data along with hash references that reference other data, which in turn contain hash references that reference more data, and so on and so forth. If any of the data or hash references are changed after they are created, all subsequent hash references are invalid. Because corrupted hash references serve as evidence that data has been altered after the reference was created.
Chaining Data with Hash References: Building Dynamic Record Structures|Each record contains a hash reference to a different record. Such a structure is useful for storing and linking data that is not completely available at a given time, but arrives step by step continuously. The most recent reference is also known as the head of the chain because it references the currently added record.
Building Chains of Data with Hash References: Sequential Data Integration and Retrieval|The creation of a chain begins with the data element Data 1 and the creation of the hash reference Ref 1. As the first data element, Data 1 does not contain a hash reference. When new data arrives, it is merged with the hash reference that points to Data 1. The hash reference Ref 2 refers to the newly received data and the hash reference Ref 1. The hash reference Ref 3, which refers to Data 3 and the hash reference Ref 2, is generated in a similar way. The hash reference Ref 3 is all you need to access all the data in the chain in reverse order of its arrival.
Merkle Tree: Efficient Grouping and Access of Data through Hash References|Connecting hash references to a tree (also called a Merkle tree) is very useful for grouping many different pieces of data that are available at the same time and making them accessible through a single hash reference.
Building Merkle Trees: Concatenating Hash References for Efficient Data Organization|The process of concatenating to a tree begins with the four transactions data by the boxes at the bottom of the figure.  First, the hash references to the individual transaction data are created (Ref 1 to Ref 4), which are then combined in pairs. Hash references are then generated to the pairs of hash references (Ref 12 and Ref 34). This procedure is repeated until a single hash reference is reached (here referred to as Ref 0).
Using Hash Values and Elaborate Puzzles for Computer Challenges: An Essential Concept in Blockchain|Hash values can also be used to allow computers to challenge other computers with elaborate puzzles. The use of hash values is one of the most important concepts of blockchain. A combination lock is a special lock that requires a unique sequence of numbers to open.  If you do not know the order of the numbers with which the lock can be opened, you can only try to systematically try all possible combinations until you finally reach the clear combination with which the lock opens.
Hash Puzzles: Unlocking the Digital Equivalent of Combination Locks|This procedure is guaranteed to open the lock, but is quite time-consuming. Systematically trying out all possible combinations has nothing to do with knowledge or intellectual thinking. The approach of opening a combination lock in this way is based on hard work. Hash puzzles  or hash puzzles are computer puzzles that can be considered the digital equivalent of the task of opening a combination lock by trying out all sorts of combinations of numbers.
Exploring Hash Puzzles: Elements and Significance in Digital Cryptography|Elements of a hash puzzle are: Predefined data that must remain unchanged. Data that can be freely changed is called nonce. The hash function to apply. Restrictions on the hash value of the combined hashing, also called difficulty level.  Nonce (number that can only be used once)
Solving Hash Puzzles: Trial and Error, Nonce, and Solutions in Digital Cryptography|Hash puzzles can only be solved by trial and error. This also requires guessing a nonce, calculating the hash value of the combined data with the required hash function, and evaluating the resulting hash value based on the restrictions. If the hash value meets all restrictions, the hash puzzle has been solved. Otherwise, you would continue with another nonce until the puzzle is finally solved. The nonce, which in combination with the specified data gives a hash value that meets the constraints, is called a solution. You must always present this particular nonce if you want to claim that you have solved the puzzle.
